  Canton	 Europe	 Medicine	 Speed	 Military1	 Military2	 Bishopric	 Taxes1	 Military3	 Protection	 Taxes2
AG	17.0 	34.0 	17.0 	50.9 	51.1 	64.5 	18.8 	17.1 	17.2 	28.4 
AI	6.8 	24.9 	10.6 	37.3 	37.8 	67.2 	14.3 	11.5 	10.4 	22.7 
AR	13.5 	28.4 	18.5 	45.6 	46.1 	65.9 	20.9 	17.6 	17.2 	33.7 
BE	23.4 	31.4 	22.1 	57.7 	57.4 	60.2 	24.2 	19.6 	20.9 	41.5 
BL	22.6 	30.6 	23.1 	54.5 	53.2 	67.3 	23.6 	22.9 	23.4 	31.3 
BS	29.1 	29.2 	35.7 	53.1 	52.0 	67.1 	30.6 	29.7 	29.5 	38.3 
FR	27.3 	23.5 	13.0 	52.2 	53.0 	71.6 	18.7 	23.7 	24.9 	36.7 
GE	41.1 	25.0 	25.1 	45.5 	46.0 	54.1 	27.0 	37.9 	40.2 	34.7 
GL	13.3 	32.4 	20.7 	45.0 	45.4 	59.9 	19.1 	13.5 	14.8 	32.1 
GR	14.4 	33.0 	25.1 	45.0 	45.1 	63.9 	22.3 	18.1 	19.9 	32.6 
JU	44.2 	20.0 	12.7 	44.6 	44.2 	69.8 	23.9 	40.9 	39.2 	45.3 
LU	15.7 	32.2 	18.1 	50.4 	50.2 	66.6 	20.2 	17.4 	18.1 	31.1 
NE	44.2 	25.5 	18.2 	50.5 	51.9 	61.5 	21.6 	31.1 	34.2 	41.5 
NW	10.8 	27.3 	13.9 	46.9 	46.8 	67.9 	13.9 	13.8 	13.2 	22.1 
OW	11.2 	26.8 	14.6 	47.2 	45.7 	65.4 	16.7 	15.2 	15.5 	24.6 
SG	14.2 	32.5 	17.6 	46.6 	46.7 	67.9 	20.3 	18.1 	16.8 	34.4 
SH	17.5 	36.7 	23.6 	44.2 	44.0 	52.5 	27.6 	20.2 	24.6 	35.0 
SO	19.8 	37.1 	18.9 	57.1 	56.7 	70.1 	20.6 	17.7 	18.3 	36.6 
SZ	10.7 	32.0 	13.0 	40.5 	40.2 	66.5 	16.0 	13.8 	14.4 	18.8 
TG	13.7 	33.8 	17.0 	46.2 	46.4 	65.5 	21.4 	16.0 	16.6 	30.7 
TI	15.8 	32.8 	16.9 	37.1 	36.9 	70.8 	22.8 	24.3 	27.0 	27.2 
UR	9.4 	30.9 	17.9 	43.8 	43.1 	64.3 	20.1 	13.0 	15.4 	29.8 
VD	39.3 	22.5 	17.9 	51.4 	53.7 	57.8 	22.6 	27.3 	31.0 	36.0 
VS	20.8 	20.0 	14.1 	45.8 	45.6 	69.1 	16.9 	19.5 	21.5 	30.4 
ZG	17.1 	33.9 	16.6 	54.2 	53.9 	68.1 	18.1 	18.2 	17.9 	24.3 
ZH	23.6 	36.4 	24.9 	53.5 	53.8 	64.4 	27.0 	22.7 	24.8 	33.8 
