Hospital	Scale	Accompl	Depers	Exhaus	WorkSat
1	Accompl	1.000	.007	-.080	.130
1	Depers	.007	1.000	.383	-.395
1	Exhaus	-.080	.383	1.000	-.496
1	WorkSat	.130	-.395	-.496	1.000
2	Accompl	1.000	-.426	-.614	.734
2	Depers	-.426	1.000	.869	-.516
2	Exhaus	-.614	.869	1.000	-.630
2	WorkSat	.734	-.516	-.630	1.000
3	Accompl	1.000	.152	.070	.163
3	Depers	.152	1.000	.225	.020
3	Exhaus	.070	.225	1.000	-.221
3	WorkSat	.163	.020	-.221	1.000
4	Accompl	1.000	.005	-.306	.271
4	Depers	.005	1.000	.012	-.003
4	Exhaus	-.306	.012	1.000	-.304
4	WorkSat	.271	-.003	-.304	1.000
5	Accompl	1.000	.156	.452	-.072
5	Depers	.156	1.000	.863	-.452
5	Exhaus	.452	.863	1.000	-.531
5	WorkSat	-.072	-.452	-.531	1.000
6	Accompl	1.000	-.340	-.318	.351
6	Depers	-.340	1.000	.479	-.411
6	Exhaus	-.318	.479	1.000	-.563
6	WorkSat	.351	-.411	-.563	1.000
7	Accompl	1.000	-.104	-.099	.117
7	Depers	-.104	1.000	.345	-.204
7	Exhaus	-.099	.345	1.000	-.596
7	WorkSat	.117	-.204	-.596	1.000
8	Accompl	1.000	-.112	.001	.186
8	Depers	-.112	1.000	.589	-.142
8	Exhaus	.001	.589	1.000	-.215
8	WorkSat	.186	-.142	-.215	1.000
9	Accompl	1.000	.031	.419	.195
9	Depers	.031	1.000	.412	-.083
9	Exhaus	.419	.412	1.000	-.200
9	WorkSat	.195	-.083	-.200	1.000
10	Accompl	1.000	-.188	-.051	.245
10	Depers	-.188	1.000	.557	-.405
10	Exhaus	-.051	.557	1.000	-.418
10	WorkSat	.245	-.405	-.418	1.000
11	Accompl	1.000	.030	-.086	.220
11	Depers	.030	1.000	.410	-.184
11	Exhaus	-.086	.410	1.000	-.354
11	WorkSat	.220	-.184	-.354	1.000
12	Accompl	1.000	.457	.207	-.346
12	Depers	.457	1.000	.318	-.306
12	Exhaus	.207	.318	1.000	-.097
12	WorkSat	-.346	-.306	-.097	1.000
13	Accompl	1.000	-.623	-.247	.068
13	Depers	-.623	1.000	.405	-.471
13	Exhaus	-.247	.405	1.000	-.601
13	WorkSat	.068	-.471	-.601	1.000
14	Accompl	1.000	-.122	-.199	.332
14	Depers	-.122	1.000	.439	-.198
14	Exhaus	-.199	.439	1.000	-.264
14	WorkSat	.332	-.198	-.264	1.000
15	Accompl	1.000	.161	.392	.074
15	Depers	.161	1.000	.119	-.238
15	Exhaus	.392	.119	1.000	-.293
15	WorkSat	.074	-.238	-.293	1.000
16	Accompl	1.000	-.187	-.220	.306
16	Depers	-.187	1.000	.380	-.342
16	Exhaus	-.220	.380	1.000	-.426
16	WorkSat	.306	-.342	-.426	1.000
17	Accompl	1.000	-.128	-.149	.327
17	Depers	-.128	1.000	.521	-.218
17	Exhaus	-.149	.521	1.000	-.402
17	WorkSat	.327	-.218	-.402	1.000
